timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610528598378,24,app-7,200,OK,Csae 1 1-1,text,true,,458,953,3,3,https://192.168.78.11/app/dark.42b6269d.bundle.js,24,0,0
1610528598402,8,app-8,200,OK,Csae 1 1-1,text,true,,458,954,3,3,https://192.168.78.11/app/light.42b6269d.bundle.js,8,0,0
1610528597384,1031,app,200,OK,Csae 1 1-3,text,true,,11578675,8502,3,3,https://192.168.78.11/app/,3,0,0
1610528597384,3,app-0,200,OK,Csae 1 1-3,text,true,,1338,930,3,3,https://192.168.78.11/app/,3,0,0
1610528597389,11,app-1,200,OK,Csae 1 1-3,text,true,,330,947,3,3,https://192.168.78.11/app/main.42b6269d.css,11,0,0
1610528597400,3,app-2,200,OK,Csae 1 1-3,text,true,,154129,940,3,3,https://192.168.78.11/app/vendor.css,2,0,0
1610528597494,25,app-3,200,OK,Csae 1 1-3,text,true,,433790,938,3,3,https://192.168.78.11/app/dark.css,22,0,0
1610528597830,19,app-4,200,OK,Csae 1 1-3,text,true,,433808,939,3,3,https://192.168.78.11/app/light.css,3,0,0
1610528598116,117,app-5,200,OK,Csae 1 1-3,text,true,,4319583,946,3,3,https://192.168.78.11/app/main.42b6269d.js,9,0,0
1610528598234,174,app-6,200,OK,Csae 1 1-3,text,true,,6234781,955,3,3,https://192.168.78.11/app/vendor.42b6269d.bundle.js,18,0,15
1610528598408,6,app-7,200,OK,Csae 1 1-3,text,true,,458,953,3,3,https://192.168.78.11/app/dark.42b6269d.bundle.js,6,0,0
1610528598414,1,app-8,200,OK,Csae 1 1-3,text,true,,458,954,3,3,https://192.168.78.11/app/light.42b6269d.bundle.js,1,0,0
1610528598412,138,eventCount,200,,Csae 1 1-1,text,true,,376,975,3,3,https://192.168.78.11/dcTrackApp/api/v2/events/eventCount?status=active,138,0,0
1610528598419,131,eventCount,200,,Csae 1 1-3,text,true,,376,975,3,3,https://192.168.78.11/dcTrackApp/api/v2/events/eventCount?status=active,131,0,0
1610528597297,1241,Login 04 (load main page),200,"Number of samples in transaction : 7, number of failing samples : 0",Csae 1 1-1,,true,,11678451,13400,3,3,null,200,13,0
1610528597338,1194,Login 04 (load main page),200,"Number of samples in transaction : 7, number of failing samples : 0",Csae 1 1-3,,true,,11678451,13400,3,3,null,165,19,0
1610528598412,139,eventCount,200,,Csae 1 1-2,text,true,,376,975,3,3,https://192.168.78.11/dcTrackApp/api/v2/events/eventCount?status=active,138,0,0
1610528597343,1199,Login 04 (load main page),200,"Number of samples in transaction : 7, number of failing samples : 0",Csae 1 1-2,,true,,11678451,13400,3,3,null,162,10,0
1610528598553,3,common-en-US.json,200,OK,Csae 1 1-3,text,true,,52141,967,3,3,https://192.168.78.11/app/scripts/static/i18n/common-en-US.json,3,0,0
1610528598553,3,common-en-US.json,200,OK,Csae 1 1-2,text,true,,52141,967,3,3,https://192.168.78.11/app/scripts/static/i18n/common-en-US.json,3,0,0
1610528598554,4,common-en-US.json,200,OK,Csae 1 1-1,text,true,,52141,967,3,3,https://192.168.78.11/app/scripts/static/i18n/common-en-US.json,4,0,0
1610528598559,1,labels.json,200,OK,Csae 1 1-1,text,true,,18577,956,3,3,https://192.168.78.11/app/scripts/static/labels.json,1,0,0
1610528598558,2,labels.json,200,OK,Csae 1 1-2,text,true,,18577,956,3,3,https://192.168.78.11/app/scripts/static/labels.json,2,0,0
1610528598557,3,labels.json,200,OK,Csae 1 1-3,text,true,,18577,956,3,3,https://192.168.78.11/app/scripts/static/labels.json,2,0,0
1610528598572,29,policies,200,,Csae 1 1-3,text,true,,310,975,3,3,https://192.168.78.11/dcTrackApp/api/v2/policies?_dc=0.6622869649751371,29,0,0
1610528598578,29,policies,200,,Csae 1 1-1,text,true,,310,975,3,3,https://192.168.78.11/dcTrackApp/api/v2/policies?_dc=0.8680214851257995,28,0,0
1610528598582,26,policies,200,,Csae 1 1-2,text,true,,310,976,3,3,https://192.168.78.11/dcTrackApp/api/v2/policies?_dc=0.29961363224536386,26,0,0
1610528598624,26,list,200,,Csae 1 1-2,text,true,,327,983,3,3,https://192.168.78.11/dcTrackApp/api/v2/expressions/list?_dc=0.5222479963251357,26,0,0
1610528598623,27,list,200,,Csae 1 1-1,text,true,,327,983,3,3,https://192.168.78.11/dcTrackApp/api/v2/expressions/list?_dc=0.9752937469258591,27,0,0
1610528598612,40,list,200,,Csae 1 1-3,text,true,,327,983,3,3,https://192.168.78.11/dcTrackApp/api/v2/expressions/list?_dc=0.0784316037970203,40,0,0
1610528598667,71,ALL_LKS,200,,Csae 1 1-2,text,true,,27605,997,3,3,https://192.168.78.11/dcTrackApp/api/v2/dcimoperations/lookups/ALL_LKS?_dc=0.8537387472667799,69,0,0
