timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626730502830,6,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,200,,Csae 1 1-4,text,true,,476,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,6,0,0
1626730502830,6,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,200,,Csae 1 1-15,text,true,,334,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,6,0,0
1626730502499,337,locationDropdown?listType=itemFilter,200,,Csae 1 1-8,text,true,,280085,985,15,15,https://192.168.78.176/dcTrackApp/api/v2/rbac/locationDropdown?listType=itemFilter,336,0,0
1626730502836,6,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,200,,Csae 1 1-6,text,true,,334,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,6,0,0
1626730502837,5,phaseMap?portType=20001,200,,Csae 1 1-12,text,true,,531,974,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseMap?portType=20001,5,0,0
1626730502836,10,connectors?typeName=Power (DC),200,,Csae 1 1-10,text,true,,737,986,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power+%28DC%29,10,0,0
1626730502837,9,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,200,,Csae 1 1-15,text,true,,476,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,9,0,0
1626730502838,8,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=2103,200,,Csae 1 1-4,text,true,,347,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=2103,8,0,0
1626730502838,12,20000,200,,Csae 1 1-8,text,true,,560,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/dcimoperations/lookups/cord/20000,12,0,0
1626730502843,7,phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,200,,Csae 1 1-6,text,true,,476,1015,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseDDL?portType=20002&inletPhaseCode=-1&modelSubClassCode=5001,7,0,0
1626730502843,7,voltsMap?portType=20002,200,,Csae 1 1-12,text,true,,1373,974,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsMap?portType=20002,7,0,0
